time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,SMA_50,EMA_10,EMA_50,RSI,Signal
2025-02-13 15:00:00,1.03897,1.04069,1.03758,1.03925,3292,3,0,,,1.03925,1.03925,,0
2025-02-13 16:00:00,1.03922,1.04013,1.03816,1.03996,3140,3,0,,,1.039379090909091,1.039277843137255,,0
2025-02-13 17:00:00,1.03994,1.04383,1.03994,1.04332,4286,3,0,,,1.0400956198347109,1.0394363590926567,,0
2025-02-13 18:00:00,1.04333,1.04451,1.04241,1.04276,2654,0,0,,,1.0405800525920361,1.0395666979517684,,0
2025-02-13 19:00:00,1.04272,1.04388,1.0425,1.04254,1900,4,0,,,1.0409364066662112,1.0396832980320911,,0
2025-02-13 20:00:00,1.04253,1.04316,1.03728,1.04093,3646,4,0,,,1.040935241817809,1.0397321883053425,,0
2025-02-13 21:00:00,1.04092,1.04426,1.04085,1.0437,2567,4,0,,,1.0414379251236618,1.0398877887639566,,0
2025-02-13 22:00:00,1.0437,1.04657,1.04355,1.04616,1628,4,0,,,1.0422964841920868,1.0401337578320369,,0
2025-02-13 23:00:00,1.0462,1.04669,1.04572,1.04627,846,4,0,,,1.0430189416117073,1.0403743947798,,0
2025-02-14 00:00:00,1.04589,1.04676,1.04588,1.04658,370,7,0,1.043147,,1.043666406773215,1.040617751847259,,0
2025-02-14 01:00:00,1.04649,1.04673,1.04561,1.04615,886,0,0,1.0438370000000001,,1.044117969178085,1.0408347027552096,,0
2025-02-14 02:00:00,1.04615,1.04668,1.04578,1.04608,1354,4,0,1.044449,,1.0444747020547969,1.0410404006863778,,0
2025-02-14 03:00:00,1.04608,1.04668,1.04582,1.04592,1616,4,0,1.044709,,1.0447374834993792,1.041231757522206,,0
2025-02-14 04:00:00,1.04591,1.0461,1.04551,1.04567,1256,4,0,1.045,,1.0449070319540374,1.0414058062468254,74.6543698528326,0
2025-02-14 05:00:00,1.04566,1.04615,1.04537,1.04588,997,4,0,1.045334,,1.0450839352351213,1.0415812648253815,75.05668139989719,0
