time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 00:00:00,1.10437,1.10451,1.10415,1.10449,93,11,0
2024-01-02 00:15:00,1.1042,1.1045,1.1042,1.10426,77,13,0
2024-01-02 00:30:00,1.10437,1.10437,1.10415,1.10428,69,12,0
2024-01-02 00:45:00,1.10423,1.1044100000000001,1.10411,1.10439,136,11,0
2024-01-02 01:00:00,1.1044100000000001,1.10447,1.1038000000000001,1.10382,508,3,0
2024-01-02 01:15:00,1.10383,1.10384,1.10371,1.10377,407,3,0
2024-01-02 01:30:00,1.10377,1.10385,1.1036,1.10366,676,3,0
2024-01-02 01:45:00,1.10366,1.10373,1.10354,1.10364,616,3,0
2024-01-02 02:00:00,1.10364,1.1038000000000001,1.10362,1.1037,632,1,0
2024-01-02 02:15:00,1.1037,1.10374,1.1034,1.10347,613,3,0
2024-01-02 02:30:00,1.10347,1.10359,1.10343,1.10356,507,3,0
2024-01-02 02:45:00,1.10356,1.10384,1.10354,1.10381,624,3,0
2024-01-02 03:00:00,1.1038000000000001,1.10432,1.10374,1.10388,1334,3,0
2024-01-02 03:15:00,1.10388,1.1043,1.10386,1.10394,1107,3,0
2024-01-02 03:30:00,1.10394,1.10398,1.10368,1.10382,1598,3,0
2024-01-02 03:45:00,1.10383,1.10401,1.1034,1.10347,1040,3,0
2024-01-02 04:00:00,1.10348,1.10358,1.10312,1.10318,970,3,0
2024-01-02 04:15:00,1.1031900000000001,1.10321,1.10259,1.10262,1248,3,0
2024-01-02 04:30:00,1.10263,1.10269,1.10218,1.10237,1737,3,0
2024-01-02 04:45:00,1.10234,1.10241,1.1018,1.10187,1565,3,0
2024-01-02 05:00:00,1.10187,1.10236,1.10174,1.10223,1052,3,0
2024-01-02 05:15:00,1.10222,1.10241,1.10204,1.10213,799,3,0
2024-01-02 05:30:00,1.10213,1.1023,1.10206,1.1023,605,3,0
2024-01-02 05:45:00,1.1023,1.10248,1.1023,1.10244,523,3,0
2024-01-02 06:00:00,1.10244,1.10249,1.1020699999999999,1.10218,644,3,0
2024-01-02 06:15:00,1.10219,1.10226,1.1019,1.10193,454,1,0
2024-01-02 06:30:00,1.10193,1.10204,1.10171,1.10175,848,3,0
2024-01-02 06:45:00,1.10175,1.10212,1.10163,1.10209,1565,3,0
2024-01-02 07:00:00,1.10209,1.10253,1.10206,1.10249,1511,3,0
2024-01-02 07:15:00,1.10251,1.10283,1.10244,1.10265,1255,3,0
2024-01-02 07:30:00,1.10265,1.10305,1.10262,1.103,962,3,0
2024-01-02 07:45:00,1.10301,1.10335,1.10289,1.10331,1389,3,0
2024-01-02 08:00:00,1.10332,1.10342,1.10316,1.1031900000000001,1855,3,0
2024-01-02 08:15:00,1.1031900000000001,1.10339,1.10297,1.1032,1532,1,0
2024-01-02 08:30:00,1.10321,1.10349,1.10309,1.10337,1208,1,0
2024-01-02 08:45:00,1.10338,1.10352,1.10266,1.10287,1707,1,0
2024-01-02 09:00:00,1.10286,1.10312,1.10243,1.10281,2481,1,0
2024-01-02 09:15:00,1.10281,1.10377,1.10276,1.10372,2464,0,0
2024-01-02 09:30:00,1.10371,1.10381,1.10299,1.10301,1836,0,0
2024-01-02 09:45:00,1.10301,1.10315,1.10151,1.10156,4188,0,0
2024-01-02 10:00:00,1.10156,1.10389,1.10156,1.10324,4405,0,0
2024-01-02 10:15:00,1.10324,1.10342,1.10277,1.10289,2610,0,0
2024-01-02 10:30:00,1.10289,1.10331,1.1028,1.10293,2063,0,0
2024-01-02 10:45:00,1.10293,1.10332,1.10254,1.10298,2015,0,0
2024-01-02 11:00:00,1.10298,1.10365,1.1029,1.10352,2106,0,0
2024-01-02 11:15:00,1.10352,1.1038000000000001,1.10331,1.10333,1749,0,0
2024-01-02 11:30:00,1.10333,1.10351,1.1019,1.1019700000000001,2037,0,0
2024-01-02 11:45:00,1.1019700000000001,1.102,1.10108,1.10152,2478,0,0
2024-01-02 12:00:00,1.1015,1.10171,1.09971,1.10001,2709,0,0
2024-01-02 12:15:00,1.10001,1.10057,1.09996,1.10039,2259,0,0
2024-01-02 12:30:00,1.10039,1.10103,1.10029,1.10097,1872,0,0
2024-01-02 12:45:00,1.10097,1.10112,1.10028,1.1007500000000001,2489,0,0
2024-01-02 13:00:00,1.1007500000000001,1.10077,1.09894,1.09895,3100,0,0
2024-01-02 13:15:00,1.09897,1.09922,1.09785,1.09805,4025,0,0
2024-01-02 13:30:00,1.09805,1.09805,1.09704,1.0971,3278,0,0
2024-01-02 13:45:00,1.0971,1.09731,1.09667,1.09693,2339,0,0
2024-01-02 14:00:00,1.09693,1.09721,1.09677,1.09691,2506,0,0
2024-01-02 14:15:00,1.09691,1.09695,1.09611,1.09657,2453,0,0
2024-01-02 14:30:00,1.09657,1.09684,1.09579,1.09608,2699,0,0
2024-01-02 14:45:00,1.09608,1.09635,1.09537,1.0954,3246,0,0
2024-01-02 15:00:00,1.0954,1.0959,1.09533,1.09579,3717,0,0
2024-01-02 15:15:00,1.09579,1.09624,1.09518,1.09581,3820,0,0
2024-01-02 15:30:00,1.09582,1.09651,1.09571,1.09642,3443,0,0
2024-01-02 15:45:00,1.09641,1.09649,1.0949200000000001,1.09528,3826,0,0
2024-01-02 16:00:00,1.09527,1.09577,1.09449,1.0946,4838,0,0
2024-01-02 16:15:00,1.0946,1.09539,1.09446,1.0952,3562,0,0
2024-01-02 16:30:00,1.0952,1.09638,1.0951,1.09571,5419,0,0
2024-01-02 16:45:00,1.09571,1.09643,1.09514,1.09629,6970,0,0
2024-01-02 17:00:00,1.09629,1.09684,1.09551,1.09579,6433,0,0
2024-01-02 17:15:00,1.09579,1.0962,1.0953,1.09592,5277,0,0
2024-01-02 17:30:00,1.09593,1.09594,1.09497,1.09525,5836,0,0
2024-01-02 17:45:00,1.09525,1.09557,1.09407,1.09437,6140,0,0
2024-01-02 18:00:00,1.09438,1.09583,1.09407,1.09574,4795,0,0
2024-01-02 18:15:00,1.09575,1.09618,1.09556,1.09582,3428,0,0
2024-01-02 18:30:00,1.09581,1.09581,1.09443,1.09465,3050,0,0
2024-01-02 18:45:00,1.09465,1.09582,1.09465,1.09565,2299,0,0
2024-01-02 19:00:00,1.09564,1.09577,1.09479,1.09505,2850,1,0
2024-01-02 19:15:00,1.09505,1.09558,1.09457,1.09535,3384,1,0
2024-01-02 19:30:00,1.09534,1.09561,1.09513,1.09516,2116,1,0
2024-01-02 19:45:00,1.09516,1.09528,1.09466,1.09506,2583,1,0
2024-01-02 20:00:00,1.09506,1.09544,1.09475,1.0953,1772,1,0
2024-01-02 20:15:00,1.0953,1.0956,1.09523,1.09545,1498,1,0
2024-01-02 20:30:00,1.09545,1.0955,1.09475,1.09483,1476,1,0
2024-01-02 20:45:00,1.09483,1.09504,1.09462,1.09468,2190,1,0
2024-01-02 21:00:00,1.09468,1.09478,1.09424,1.09466,2254,1,0
2024-01-02 21:15:00,1.09466,1.095,1.09444,1.09495,1653,1,0
2024-01-02 21:30:00,1.09494,1.09503,1.0946,1.0948,1103,1,0
2024-01-02 21:45:00,1.0948,1.09488,1.09448,1.09465,1587,1,0
2024-01-02 22:00:00,1.09465,1.09512,1.09456,1.09484,1680,1,0
2024-01-02 22:15:00,1.09484,1.09506,1.09455,1.09459,1380,1,0
2024-01-02 22:30:00,1.09459,1.09487,1.09457,1.09469,1795,1,0
2024-01-02 22:45:00,1.09469,1.09487,1.09419,1.09424,2156,1,0
2024-01-02 23:00:00,1.09425,1.09428,1.09387,1.09409,1628,15,0
2024-01-02 23:15:00,1.09408,1.09421,1.09374,1.09375,1208,1,0
2024-01-02 23:30:00,1.09376,1.09409,1.09376,1.09402,512,1,0
2024-01-02 23:45:00,1.09401,1.09419,1.094,1.09407,620,10,0
2024-01-03 00:00:00,1.09425,1.09438,1.09362,1.09411,90,13,0
2024-01-03 00:15:00,1.09414,1.0942,1.09381,1.09397,687,8,0
2024-01-03 00:30:00,1.09396,1.09413,1.09383,1.09396,1028,8,0
2024-01-03 00:45:00,1.09396,1.09428,1.09393,1.09411,850,8,0
2024-01-03 01:00:00,1.09413,1.09439,1.09409,1.0943100000000001,839,3,0
2024-01-03 01:15:00,1.0943,1.09432,1.09413,1.09429,542,3,0
2024-01-03 01:30:00,1.09428,1.09429,1.09411,1.09417,514,3,0
2024-01-03 01:45:00,1.09415,1.09435,1.09407,1.09415,538,2,0
2024-01-03 02:00:00,1.09414,1.09446,1.09409,1.09445,546,0,0
2024-01-03 02:15:00,1.09445,1.09488,1.09439,1.09486,491,3,0
2024-01-03 02:30:00,1.09486,1.09505,1.0948,1.09498,674,3,0
